timestamp,log_message
2024-11-20 08:00:00,systemd: Starting LSB: core monitoring daemon...
2024-11-20 08:00:05,kernel: [0.000000] Linux version 5.15.0-generic (gcc version 11.2.0)
2024-11-20 08:00:10,kernel: [1.245678] sd 0:0:0:0: [sda] Attached SCSI disk
2024-11-20 08:01:45,sshd: Server listening on 0.0.0.0 port 22.
2024-11-20 08:02:10,systemd: Started Nginx - high performance web server.
2024-11-20 08:02:15,mysqld: Ready for connections. Version: '8.0.28' port: 3306.
2024-11-20 08:05:22,192.168.1.45 - - [20/Nov/2024:08:05:22] "GET /index.html HTTP/1.1" 200 2326
2024-11-20 08:05:22,192.168.1.45 - - [20/Nov/2024:08:05:22] "GET /favicon.ico HTTP/1.1" 404 197
2024-11-20 08:05:23,192.168.1.45 - - [20/Nov/2024:08:05:23] "GET /style.css HTTP/1.1" 200 1024
2024-11-20 08:10:01,CRON: pam_unix(cron:session): session opened for user root by (uid=0)
2024-11-20 08:10:05,CRON: pam_unix(cron:session): session closed for user root
2024-11-20 09:15:40,10.0.2.15 - - [20/Nov/2024:09:15:40] "POST /api/v1/login HTTP/1.1" 200 512
2024-11-20 09:30:12,sshd: Failed password for root from 192.168.1.105 port 45672 ssh2
2024-11-20 09:30:14,sshd: Failed password for root from 192.168.1.105 port 45672 ssh2
2024-11-20 09:30:16,sshd: Failed password for root from 192.168.1.105 port 45672 ssh2
2024-11-20 09:30:18,sshd: Failed password for root from 192.168.1.105 port 45672 ssh2
2024-11-20 09:30:20,sshd: Failed password for root from 192.168.1.105 port 45672 ssh2
2024-11-20 09:30:25,sshd: PAM 5 more authentication failures; rhost=192.168.1.105
2024-11-20 10:00:01,backup.sh: Starting full rsync backup to /mnt/storage/backups
2024-11-20 10:00:05,rsync: sending incremental file list
2024-11-20 10:05:45,rsync: sent 3.47M bytes received 96 bytes 449.21K bytes/sec
2024-11-20 10:05:50,backup.sh: Backup completed successfully. Size: 3.5GB
2024-11-20 11:15:00,kernel: [11567.123] Cpu utilization over 300 seconds is 83%, exceeded log level 80%
2024-11-20 11:15:05,10.0.2.20 - - [20/Nov/2024:11:15:05] "GET /api/v1/search?q=query HTTP/1.1" 500 197
2024-11-20 11:15:06,nginx: [error] 1245#0: *456 connect() failed (111: Connection refused)
2024-11-20 11:20:10,mysqld: Aborted connection 123 to db: 'app' user: 'user'
2024-11-20 11:20:12,mysqld: Too many connections
2024-11-20 12:00:00,192.168.1.50 - - [20/Nov/2024:12:00:00] "GET /admin HTTP/1.1" 403 562
2024-11-20 12:00:01,sshd: Invalid user admin from 192.168.1.50 port 51234
2024-11-20 12:00:03,sshd: Failed password for invalid user admin from 192.168.1.50 port 51234
2024-11-20 13:45:12,kernel: audit: audit_backlog=65 > audit_backlog_limit=64
2024-11-20 13:45:15,auditd: Audit daemon is low on disk space for logging
2024-11-20 14:00:00,systemd: Reached target Daily Cleanup of Temporary Directories.
2024-11-20 15:20:30,10.0.2.30 - - [20/Nov/2024:15:20:30] "GET /not-found HTTP/1.1" 404 152
2024-11-20 15:20:31,10.0.2.30 - - [20/Nov/2024:15:20:31] "GET /favicon.ico HTTP/1.1" 404 152
2024-11-20 16:10:00,sudo: user1 : TTY=pts/0 ; PWD=/home/user1 ; USER=root ; COMMAND=/usr/bin/apt update
2024-11-20 16:10:05,pam_unix(sudo:session): session opened for user root(uid=0) by user1(uid=1000)
2024-11-20 16:12:30,pam_unix(sudo:session): session closed for user root
2024-11-20 17:00:01,kernel: [24567.890] Memory usage threshold red (88%) exceeded
2024-11-20 17:00:05,kernel: [24567.895] Out of memory: kill process 1456 (mysqld) score 950
2024-11-20 17:00:08,systemd: mysql.service: Main process exited, code=killed, status=9/KILL
2024-11-20 17:00:10,systemd: mysql.service: Failed with result 'signal'.
2024-11-20 17:05:01,192.168.1.45 - - [20/Nov/2024:17:05:01] "GET /index.html HTTP/1.1" 500 197
2024-11-20 17:05:02,192.168.1.45 - - [20/Nov/2024:17:05:02] "GET /index.html HTTP/1.1" 500 197
2024-11-20 18:00:00,systemd: Starting Graceful restart of Nginx...
2024-11-20 18:00:05,nginx: [notice] 7890#0: signal process started
2024-11-20 19:30:15,sshd: Accepted password for user1 from 192.168.1.10 port 56782 ssh2
2024-11-20 19:30:16,pam_unix(sshd:session): session opened for user user1 by (uid=0)
2024-11-20 20:45:00,10.0.5.10 - - [20/Nov/2024:20:45:00] "GET /api/v2/data HTTP/1.1" 200 10240
2024-11-20 21:00:00,CRON: pam_unix(cron:session): session opened for user root by (uid=0)
2024-11-20 21:00:10,CRON: pam_unix(cron:session): session closed for user root
2024-11-20 22:00:00,systemd: Starting Weekly System Backup...
2024-11-20 22:30:45,systemd: Started Weekly System Backup.
2024-11-21 00:01:10,kernel: [54321.123] systemd-journald: Runtime journal is using 8.0M.
2024-11-21 02:00:00,kernel: [61234.567] systemd-journald: Vacuuming done, freed 0B of journals.
2024-11-21 04:30:22,192.168.1.150 - - [21/Nov/2024:04:30:22] "GET /wp-login.php HTTP/1.1" 404 152
2024-11-21 04:30:23,192.168.1.150 - - [21/Nov/2024:04:30:23] "GET /phpmyadmin/ HTTP/1.1" 404 152
2024-11-21 04:30:25,192.168.1.150 - - [21/Nov/2024:04:30:25] "GET /admin/config.php HTTP/1.1" 404 152
2024-11-21 06:15:00,systemd: Stopping System Logging Service...
2024-11-21 06:15:02,systemd: Stopped System Logging Service.
2024-11-21 06:15:10,systemd: Starting System Logging Service...
2024-11-21 06:15:12,systemd: Started System Logging Service.
2024-11-21 08:00:01,systemd: Starting Daily Backup Script...
2024-11-21 08:30:45,backup.sh: Database dump completed for 'production_db'
2024-11-21 08:35:12,backup.sh: Success: All 12 tables exported.
2024-11-21 09:45:00,10.0.1.50 - - [21/Nov/2024:09:45:00] "GET /images/logo.png HTTP/1.1" 200 4562
2024-11-21 11:20:34,sshd: Failed password for root from 10.0.5.200 port 38921 ssh2
2024-11-21 11:20:36,sshd: Failed password for root from 10.0.5.200 port 38921 ssh2
2024-11-21 11:20:38,sshd: Failed password for root from 10.0.5.200 port 38921 ssh2
2024-11-21 11:20:40,sshd: Failed password for root from 10.0.5.200 port 38921 ssh2
2024-11-21 11:20:42,sshd: Failed password for root from 10.0.5.200 port 38921 ssh2
